sa4_code_2011, psq_cert_pc, p_tot, psq_postgrad_deg_pc, psq_adv_dip_dip_pc, psq_bach_deg_pc, year, sa4_name_2011, psq_grad_dip_cert_pc
"101",21.5,215828,2.7,7.6,9.9,"2011","Capital Region",1.9
"102",23.0,322657,1.7,7.8,8.5,"2011","Central Coast",1.1
"103",22.0,203399,1.5,6.4,8.3,"2011","Central West",1.1
"104",23.0,135182,1.5,7.0,8.7,"2011","Coffs Harbour - Grafton",1.2
"105",20.2,117991,1.0,5.2,7.3,"2011","Far West and Orana",1.0
"106",24.9,251805,1.2,6.8,7.2,"2011","Hunter Valley exc Newcastle",0.9
"107",22.0,289027,3.3,7.9,10.5,"2011","Illawarra",1.5
"108",23.2,208090,1.1,6.9,7.1,"2011","Mid North Coast",1.1
"109",21.3,113795,1.3,6.4,8.3,"2011","Murray",1.3
"110",20.5,182559,1.8,6.1,8.2,"2011","New England and North West",1.2
"111",22.0,357562,2.8,7.7,11.7,"2011","Newcastle and Lake Macquarie",1.4
"112",21.2,236498,1.8,7.6,10.4,"2011","Richmond - Tweed",1.5
"113",21.2,155720,1.5,5.8,8.3,"2011","Riverina",1.1
"114",23.1,142124,2.1,8.1,9.0,"2011","Southern Highlands and Shoalhaven",1.5
"115",17.4,218866,5.6,10.7,18.7,"2011","Sydney - Baulkham Hills and Hawkesbury",1.9
"116",17.0,314875,3.5,7.7,12.8,"2011","Sydney - Blacktown",1.0
"117",9.5,283784,9.4,8.8,24.6,"2011","Sydney - City and Inner South",2.2
"118",9.7,268144,9.2,8.9,25.9,"2011","Sydney - Eastern Suburbs",2.2
"119",14.0,551692,4.5,8.6,13.9,"2011","Sydney - Inner South West",1.0
"120",10.9,278878,9.2,9.5,23.1,"2011","Sydney - Inner West",2.4
"121",9.3,395154,11.0,10.6,28.7,"2011","Sydney - North Sydney and Hornsby",2.9
"122",16.3,251696,5.6,12.0,20.5,"2011","Sydney - Northern Beaches",2.1
"123",21.7,243751,2.2,7.6,8.9,"2011","Sydney - Outer South West",1.0
"124",21.9,297997,2.6,8.1,10.1,"2011","Sydney - Outer West and Blue Mountains",1.4
"125",13.1,413886,5.9,8.6,15.4,"2011","Sydney - Parramatta",1.2
"126",11.2,171350,9.8,10.0,23.7,"2011","Sydney - Ryde",2.3
"127",15.4,376582,1.6,7.0,8.8,"2011","Sydney - South West",0.5
"128",21.8,219637,3.5,11.0,14.5,"2011","Sydney - Sutherland",1.7
"201",19.7,148656,2.2,7.3,10.3,"2011","Ballarat",2.3
"202",20.4,142693,2.1,7.3,10.5,"2011","Bendigo",2.4
"203",20.1,256580,2.4,8.5,12.1,"2011","Geelong",2.0
"204",22.3,161335,1.4,7.8,8.6,"2011","Hume",1.8
"205",22.6,259952,1.3,7.0,7.9,"2011","Latrobe - Gippsland",1.6
"206",8.7,532351,9.0,8.4,27.6,"2011","Melbourne - Inner",3.8
"207",9.4,356245,8.1,9.8,24.9,"2011","Melbourne - Inner East",3.5
"208",12.1,395206,6.6,10.2,22.3,"2011","Melbourne - Inner South",3.3
"209",16.2,454330,3.9,8.5,14.2,"2011","Melbourne - North East",2.3
"210",16.7,331282,2.3,7.6,10.6,"2011","Melbourne - North West",1.5
"211",19.6,495565,3.1,9.6,13.8,"2011","Melbourne - Outer East",2.2
"212",16.3,684430,3.5,8.7,12.6,"2011","Melbourne - South East",1.4
"213",15.8,640336,3.4,7.8,12.6,"2011","Melbourne - West",1.6
"214",21.4,279621,1.8,8.9,9.9,"2011","Mornington Peninsula",1.7
"215",19.1,149634,0.8,6.1,6.9,"2011","North West",1.3
"216",19.8,127002,1.0,6.0,7.0,"2011","Shepparton",1.3
"217",20.5,122599,1.2,6.8,8.3,"2011","Warrnambool and South West",1.5
"301",21.6,219039,2.3,8.9,11.3,"2011","Brisbane - East",1.5
"302",17.7,198482,3.4,8.5,15.5,"2011","Brisbane - North",2.0
"303",14.5,328772,5.9,8.6,19.5,"2011","Brisbane - South",2.2
"304",12.0,178105,8.9,9.1,23.9,"2011","Brisbane - West",3.0
"305",11.4,236750,8.2,8.7,26.9,"2011","Brisbane Inner City",3.2
"306",21.8,232781,1.7,7.3,9.5,"2011","Cairns",1.2
"307",19.2,125260,0.8,5.7,7.1,"2011","Darling Downs - Maranoa",0.9
"308",22.3,217123,1.3,5.4,8.0,"2011","Fitzroy",1.0
"309",20.8,528766,2.4,8.8,10.9,"2011","Gold Coast",1.1
"310",20.4,291052,1.7,6.7,8.2,"2011","Ipswich",1.0
"311",21.9,300179,1.3,6.6,7.3,"2011","Logan - Beaudesert",0.8
"312",24.7,171564,1.0,5.5,7.3,"2011","Mackay",0.8
"313",22.4,222270,1.1,6.8,6.6,"2011","Moreton Bay - North",0.9
"314",21.9,172787,2.4,9.4,12.3,"2011","Moreton Bay - South",1.8
"315",19.7,86631,0.9,4.9,6.9,"2011","Queensland - Outback",0.9
"316",22.3,318279,2.0,9.1,10.7,"2011","Sunshine Coast",1.6
"317",19.7,144258,2.5,7.1,10.8,"2011","Toowoomba",1.4
"318",21.4,224678,1.9,6.0,9.7,"2011","Townsville",1.1
"319",21.7,280002,0.9,5.7,6.3,"2011","Wide Bay",0.9
"401",13.5,287515,6.2,8.9,20.4,"2011","Adelaide - Central and Hills",2.8
"402",20.4,402307,1.7,6.7,8.3,"2011","Adelaide - North",1.0
"403",20.0,350017,3.1,8.4,13.2,"2011","Adelaide - South",1.9
"404",17.2,224252,2.8,7.4,12.4,"2011","Adelaide - West",1.5
"405",20.7,108115,0.8,5.9,6.5,"2011","Barossa - Yorke - Mid North",1.1
"406",21.7,86876,0.8,4.9,6.5,"2011","South Australia - Outback",0.9
"407",20.7,180532,0.9,5.9,6.4,"2011","South Australia - South East",1.0
"501",24.9,163450,1.1,7.1,8.8,"2011","Bunbury",1.2
"502",22.9,87424,0.9,6.8,6.3,"2011","Mandurah",0.9
"503",9.2,167974,8.9,9.0,27.7,"2011","Perth - Inner",3.3
"504",20.0,232384,2.2,8.2,11.3,"2011","Perth - North East",1.5
"505",19.5,513107,2.8,9.3,14.2,"2011","Perth - North West",1.8
"506",18.8,458751,3.3,8.3,13.5,"2011","Perth - South East",1.5
"507",19.5,373927,3.0,8.6,13.7,"2011","Perth - South West",1.8
"508",22.5,222978,1.1,5.8,7.8,"2011","Western Australia - Outback",1.1
"509",20.0,133414,1.0,6.7,7.7,"2011","Western Australia - Wheat Belt",1.2
"601",18.8,216273,3.5,7.1,13.2,"2011","Hobart",2.0
"602",20.5,143631,1.8,6.4,9.4,"2011","Launceston and North East",1.2
"603",20.6,37495,1.9,6.7,8.2,"2011","South East",1.2
"604",22.4,114084,1.0,5.9,6.7,"2011","West and North West",0.9
"701",20.5,129106,3.2,7.6,12.1,"2011","Darwin",2.0
"702",16.5,102186,1.9,5.1,8.0,"2011","Northern Territory - Outback",1.5
"801",13.5,367985,8.9,9.0,21.3,"2011","Australian Capital Territory",3.8
"901",13.2,3117,1.3,5.0,6.2,"2011","Other Territories",1.2
